City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lahaina,20.8783,-156.6825,29.58,78,5,4.13,US,1718229052
84,hithadhoo,-0.6,73.0833,28.34,73,72,2.12,MV,1718229052
85,thurso,58.5927,-3.5259,8.25,85,89,1.51,GB,1718229052
86,mount pearl,47.5166,-52.7813,14.07,88,100,4.63,CA,1718228960
87,holualoa,19.6228,-155.9522,25.91,81,40,4.63,US,1718229052
88,macae,-22.3708,-41.7869,24.86,61,0,4.12,BR,1718229009
89,pavlovsk,50.4578,40.1081,21.08,94,98,2.29,RU,1718229052
90,alofi,-19.0595,-169.9187,26.94,78,100,5.66,NU,1718229053
91,lompoc,34.6391,-120.4579,18.8,85,100,3.6,US,1718229053
92,tralee,52.2704,-9.7026,11.45,78,100,2.63,IE,1718229053
93,bredasdorp,-34.5322,20.0403,12.19,89,0,1.46,ZA,1718229053
94,pasighat,28.0667,95.3333,24.56,98,91,1.07,IN,1718229053
95,dunedin,-45.8742,170.5036,8.78,77,100,3.58,NZ,1718228775
96,margaret river,-33.95,115.0667,11.1,78,7,1.66,AU,1718229053
97,masterton,-40.9597,175.6575,7.71,77,100,1.77,NZ,1718229053
98,whitehorse,60.7161,-135.0538,18.78,28,40,6.71,CA,1718229053
99,ust-nera,64.5667,143.2,15.23,47,93,0.64,RU,1718229053
100,ketchikan,55.3422,-131.6461,14.08,62,75,5.14,US,1718229053
101,afaahiti,-17.75,-149.2833,26.93,72,80,6.8,PF,1718229053
102,saguenay,48.4168,-71.0657,24.06,66,75,3.6,CA,1718229010
103,yellowknife,62.456,-114.3525,14.67,56,75,4.63,CA,1718229053
104,olinda,-8.0089,-34.8553,24.85,88,75,8.23,BR,1718229052
105,pangody,65.85,74.4859,13.35,90,99,2.99,RU,1718229053
106,sitka,57.0531,-135.33,11.94,66,20,5.66,US,1718229053
107,iskateley,67.6803,53.1512,13.34,74,66,3.13,RU,1718229053
108,kotka,60.4664,26.9458,11.59,85,30,4.2,FI,1718229053
109,aasiaat,68.7098,-52.8699,0.56,95,100,6.55,GL,1718229053
110,jamestown,42.097,-79.2353,24.18,46,75,4.12,US,1718229053
111,corner brook,48.9667,-57.9484,22.09,75,100,3.52,CA,1718228958
112,pacific grove,36.6177,-121.9166,19.66,85,100,5.66,US,1718229053
113,hawaiian paradise park,19.5933,-154.9731,26.73,77,40,4.63,US,1718229053
114,onega,63.9061,38.1404,9.85,91,93,0.72,RU,1718229053
115,nemuro,43.3236,145.575,13.53,98,95,4.33,JP,1718229053
116,kashmar,35.2383,58.4656,26.71,28,27,3.17,IR,1718229053
117,aksu,41.1231,80.2644,21.33,43,16,0.35,CN,1718229053
118,port lincoln,-34.7333,135.8667,13.42,84,100,4.71,AU,1718229003
119,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,90,75,4.47,RU,1718229054
120,palmer,42.1584,-72.3287,25.23,53,75,2.57,US,1718228937
121,tabou,4.423,-7.3528,25.68,84,51,3.77,CI,1718229054
122,konduga,11.6558,13.4213,29.94,52,20,5.32,NG,1718229054
123,birobidzhan,48.8,132.95,10.46,88,96,1.31,RU,1718229054
124,mbeni,-11.5014,43.3775,23.23,67,57,4.9,KM,1718229054
125,st. john's,47.5649,-52.7093,14.53,88,100,4.63,CA,1718228991
126,ugoofaaru,5.6667,73.0,28.93,76,100,6.92,MV,1718229054
127,vadso,70.0744,29.7487,4.49,87,100,3.6,NO,1718229054
128,selkirk,50.1436,-96.8845,22.3,54,8,1.34,CA,1718228923
129,huarmey,-10.0681,-78.1522,19.93,78,100,5.03,PE,1718229054
130,white rock,49.0164,-122.8026,19.97,66,1,2.06,CA,1718228982
131,port mathurin,-19.6833,63.4167,23.98,73,100,12.11,MU,1718229054
132,akureyri,65.6835,-18.0878,13.96,58,0,2.57,IS,1718229054
133,hanover,52.3705,9.7332,11.06,91,75,1.54,DE,1718228374
134,salacgriva,57.7536,24.3581,11.51,87,17,3.12,LV,1718229054
135,luwuk,-0.9516,122.7875,22.75,93,100,2.19,ID,1718229054
136,ghadamis,30.1337,9.5007,37.31,8,1,5.81,LY,1718229054
137,san julian,21.0167,-102.1667,32.66,12,10,7.93,MX,1718229054
138,xinzhou,38.4092,112.7333,21.17,50,16,0.51,CN,1718229054
139,kapuskasing,49.4169,-82.4331,26.05,38,75,10.29,CA,1718228941
140,susuman,62.7833,148.1667,12.21,39,48,0.89,RU,1718229054
141,avarua,-21.2078,-159.775,25.03,73,75,4.63,CK,1718229054
142,karratha,-20.7377,116.8463,19.52,64,10,2.67,AU,1718229054
143,arica,-18.475,-70.3042,22.75,72,0,2.57,CL,1718228432
144,bawshar,23.5556,58.3989,37.65,15,0,3.09,OM,1718229054
145,praia da vitoria,38.7333,-27.0667,22.14,78,75,3.92,PT,1718229054
146,sao joaquim da barra,-20.5814,-47.8547,20.75,34,0,1.59,BR,1718228977
147,prairie du chien,43.0517,-91.1412,19.05,88,100,0.0,US,1718229054
148,sidi ifni,29.3797,-10.173,18.37,89,100,5.34,MA,1718229055
149,mhamid,29.82,-5.72,31.58,11,96,2.71,MA,1718229055
150,nova xavantina,-14.6667,-52.35,24.34,45,0,0.49,BR,1718229055
151,severodvinsk,64.5635,39.8302,13.06,96,92,2.65,RU,1718229055
152,dalandzadgad,43.5708,104.425,13.27,56,21,3.49,MN,1718229055
153,minas de marcona,-15.2119,-75.1103,16.02,64,13,4.89,PE,1718229055
154,labytnangi,66.6572,66.4183,11.32,90,5,2.5,RU,1718229055
155,touros,-5.1989,-35.4608,25.71,75,98,6.25,BR,1718229055
156,haiku-pauwela,20.9219,-156.3051,28.43,70,40,11.83,US,1718229055
157,kodiak,57.79,-152.4072,9.73,76,100,6.69,US,1718229055
158,arraial do cabo,-22.9661,-42.0278,22.92,88,0,7.72,BR,1718229055
159,burang,30.25,81.1667,3.87,58,10,1.36,CN,1718229055
160,imbituba,-28.24,-48.6703,22.7,85,1,3.53,BR,1718229055
161,weno,7.4515,151.8468,24.97,100,100,2.57,FM,1718229055
162,tangalle,6.024,80.7911,27.09,88,100,5.35,LK,1718228992
163,fang,19.9169,99.2145,22.94,98,100,1.02,TH,1718229055
164,talnakh,69.4865,88.3972,8.45,59,61,2.0,RU,1718229055
165,dudinka,69.4058,86.1778,8.71,53,93,3.13,RU,1718229055
166,mitsamiouli,-11.3847,43.2844,26.18,69,43,7.57,KM,1718229055
167,caleta de carquin,-11.0925,-77.6267,19.08,80,89,4.91,PE,1718229055
168,arauca,7.0847,-70.7591,24.98,94,75,1.03,CO,1718228953
169,sola,-13.8833,167.55,28.37,79,75,0.0,VU,1718229055
170,firuzabad,28.8438,52.5707,25.43,20,0,2.47,IR,1718229055
171,bouafle,6.9904,-5.7442,26.01,84,96,3.02,CI,1718229055
172,la'ie,21.6477,-157.9253,28.03,78,11,4.02,US,1718228818
173,sucre,-19.0333,-65.2627,17.3,40,100,1.93,BO,1718229056
174,lahoysk,54.2016,27.8503,11.0,89,2,2.8,BY,1718229056
175,cukai,4.25,103.4167,23.97,93,60,1.61,MY,1718229056
176,seka,17.9285,103.9552,25.1,86,100,2.96,TH,1718229056
177,jerome,42.7241,-114.5186,27.71,17,0,4.63,US,1718229056
178,iqaluit,63.7506,-68.5145,0.85,80,100,3.6,CA,1718228919
179,hilo,19.7297,-155.09,26.85,80,40,4.63,US,1718229056
180,serafimovskiy,54.4241,53.7964,19.53,76,66,2.36,RU,1718229056
181,igrim,63.1906,64.4162,13.91,96,65,0.29,RU,1718229056
182,hastings,50.8552,0.5729,12.94,74,20,3.69,GB,1718229056
183,la passe,45.5549,-0.8967,16.1,80,0,3.24,FR,1718229056
184,west island,-12.1568,96.8225,26.99,89,75,6.17,CC,1718229056
185,al jaradiyah,16.5795,42.9124,32.72,67,0,3.01,SA,1718229056
186,kruisfontein,-34.0033,24.7314,13.82,75,0,3.25,ZA,1718229056
187,fomento,22.1039,-79.7217,33.86,65,100,3.75,CU,1718229056
188,conceicao da barra,-18.5933,-39.7322,21.49,77,0,1.96,BR,1718229056
189,ust'-ilimsk,58.0006,102.6619,15.8,63,39,0.89,RU,1718229056
190,calama,-22.4667,-68.9333,21.27,8,0,8.23,CL,1718229056
191,aykhal,66.0,111.5,19.56,42,67,3.31,RU,1718229056
192,broken hill,-31.95,141.4333,8.33,72,100,2.21,AU,1718229056
193,margate,51.3813,1.3862,12.61,73,93,1.79,GB,1718229057
194,along,28.1667,94.7667,20.7,98,90,0.34,IN,1718229057
195,mejit,10.2753,170.8646,27.71,82,58,10.1,MH,1718229057
196,oranjemund,-28.55,16.4333,12.93,82,0,2.71,NA,1718229057
197,velikiy novgorod,58.5167,31.2833,10.63,84,57,2.26,RU,1718229057
198,banda aceh,5.5577,95.3222,27.23,79,90,4.62,ID,1718229057
199,taoudenni,22.6783,-3.9836,38.46,11,1,6.76,ML,1718229057
200,kingston,17.997,-76.7936,32.53,70,40,9.26,JM,1718228747
201,udachny,66.4167,112.4,20.25,38,50,2.6,RU,1718229057
202,port isabel,26.0734,-97.2086,36.05,68,0,8.23,US,1718229057
203,rumonge,-3.9736,29.4386,22.57,64,6,1.62,BI,1718229057
204,happy valley-goose bay,53.3168,-60.3315,27.17,19,20,5.66,CA,1718229035
205,olonkinbyen,70.9221,-8.7187,0.78,95,100,5.88,SJ,1718229057
206,sonoita,31.85,-112.8333,39.21,8,5,6.52,MX,1718229057
207,chui,-33.6971,-53.4616,20.1,90,100,2.81,UY,1718229057
208,luderitz,-26.6481,15.1594,16.54,56,0,1.93,NA,1718229057
209,sarangani,5.4033,125.4636,28.69,78,77,5.14,PH,1718229057
210,san jose de guanipa,8.8872,-64.1651,27.87,67,85,4.84,VE,1718229057
211,usinsk,65.9939,57.5281,17.26,78,76,4.47,RU,1718229057
212,atafu village,-8.5421,-172.5159,28.9,75,93,3.98,TK,1718229057
213,ola,59.5833,151.2833,12.3,75,84,1.12,RU,1718229057
214,balkanabat,39.5108,54.3671,30.57,35,81,1.84,TM,1718229058
215,suwayr,30.1171,40.3893,31.52,12,0,4.39,SA,1718229058
216,kavaratti,10.5669,72.642,28.49,83,100,6.08,IN,1718229058
217,kenora,49.8167,-94.4337,21.54,46,40,3.09,CA,1718229058
218,nadym,65.5333,72.5167,14.98,81,98,1.37,RU,1718229058
219,biloela,-24.4167,150.5,11.7,65,0,4.85,AU,1718229058
220,east london,-33.0153,27.9116,16.45,62,0,4.51,ZA,1718229058
221,saudarkrokur,65.7461,-19.6394,12.35,63,10,0.86,IS,1718229058
222,buka,40.8108,69.1986,22.24,31,27,2.38,UZ,1718229058
223,forecariah,9.4306,-13.0881,25.82,91,100,1.44,GN,1718229058
224,tromso,69.6496,18.957,8.01,93,100,4.12,NO,1718228888
225,greenville,35.6127,-77.3663,30.09,43,40,3.6,US,1718228422
226,sabang,5.8933,95.3214,29.54,73,82,7.69,ID,1718229058
227,tofol,5.3248,163.0078,28.55,76,100,4.06,FM,1718229058
228,ancud,-41.8697,-73.8203,11.58,85,100,10.13,CL,1718229058
229,san luis,-33.295,-66.3356,16.45,68,100,2.97,AR,1718229033
230,chul'man,56.8479,124.9104,14.11,57,34,0.4,RU,1718229058
231,yuzhno-kurilsk,44.0306,145.8556,12.43,99,98,1.63,RU,1718229058
232,vilyuysk,63.7553,121.6247,15.0,50,70,1.34,RU,1718229058
233,opuwo,-18.0607,13.84,14.4,30,18,3.54,NA,1718229058
234,keflavik,64.0049,-22.5624,11.95,93,100,11.83,IS,1718229058
235,sur,22.5667,59.5289,33.14,48,31,5.91,OM,1718229058
236,coahuayana de hidalgo,18.7,-103.6583,30.87,60,100,3.59,MX,1718229058
237,trzebinia,50.1593,19.4697,11.45,88,78,0.78,PL,1718229059
238,vanimo,-2.6741,141.3028,24.43,97,100,1.42,PG,1718229060
239,lorengau,-2.0226,147.2712,25.49,87,100,1.81,PG,1718229060
240,port blair,11.6667,92.75,28.02,89,40,2.57,IN,1718229060
241,westport,41.1415,-73.3579,25.15,54,40,4.12,US,1718228962
242,macau,22.2006,113.5461,29.89,94,40,4.12,MO,1718228773
243,harare,-17.8294,31.0539,9.34,67,0,2.36,ZW,1718229060
244,aweil,8.7682,27.4002,24.4,82,86,1.78,SS,1718229060
245,sarmiento,-45.5882,-69.07,8.24,71,100,1.37,AR,1718229060
246,nishinoomote,30.7333,131.0,23.51,91,100,6.72,JP,1718229060
247,saipan,15.1355,145.701,29.39,74,40,4.63,MP,1718229060
248,sao jose da coroa grande,-8.8978,-35.1478,25.54,82,77,4.55,BR,1718229060
249,severo-yeniseyskiy,60.3725,93.0408,13.65,77,100,0.45,RU,1718229060
250,kenai,60.5544,-151.2583,13.34,68,100,3.6,US,1718229060
251,machico,32.7,-16.7667,20.56,85,40,7.2,PT,1718229060
252,dickinson,29.4608,-95.0513,33.36,74,75,3.6,US,1718229039
253,palikir - national government center,6.9248,158.1611,28.47,84,100,5.14,FM,1718229060
254,nadi,-17.8,177.4167,25.0,78,40,2.57,FJ,1718229060
255,colonia,50.9333,6.95,12.12,74,40,2.57,DE,1718229004
256,chonchi,-42.6128,-73.8092,10.62,94,100,3.77,CL,1718229060
257,maumere,-8.6199,122.2111,24.98,78,89,3.1,ID,1718229060
258,crane,31.3974,-102.3501,34.54,29,0,2.3,US,1718229060
259,laojunmiao,39.8333,97.7333,17.47,37,60,2.89,CN,1718229061
260,thul,28.2403,68.7759,33.81,45,0,4.73,PK,1718229061
261,selfoss,63.9331,-20.9971,11.14,70,100,7.64,IS,1718229061
262,kuloy,61.0305,42.4925,16.16,95,94,1.42,RU,1718229061
263,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1718228884
264,kolonia,50.9333,6.95,12.12,74,40,2.57,DE,1718229061
265,chishmy,54.5765,55.3764,22.11,87,18,2.3,RU,1718229061
266,klaksvik,62.2266,-6.589,9.51,80,37,0.32,FO,1718229061
267,kimhae,35.2342,128.8811,20.97,83,0,0.51,KR,1718229061
268,vellanur,13.1544,80.0992,27.05,88,75,1.54,IN,1718229061
269,lazaro cardenas,17.9583,-102.2,29.23,64,100,3.92,MX,1718229061
270,beloyarskiy,63.7119,66.6722,15.0,94,74,3.58,RU,1718228849
271,kesan,40.8558,26.6303,22.54,68,30,1.2,TR,1718229061
272,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1718229061
